epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,256.294,0.36911,0.29659,0.80918,0.95494,1,0.98957,0.91832,0.50904,0.30895,0.79505,0.00013625,0.00013625,0.00013625
92,258.707,0.34296,0.28633,0.80124,0.96053,0.99823,0.98859,0.92276,0.49913,0.29704,0.79833,0.000123875,0.000123875,0.000123875
93,261.017,0.34155,0.35621,0.81752,0.96435,1,0.98717,0.91191,0.49822,0.30142,0.79946,0.0001115,0.0001115,0.0001115
94,263.33,0.35252,0.28212,0.80212,0.96615,1,0.98859,0.91262,0.49695,0.29901,0.79092,9.9125e-05,9.9125e-05,9.9125e-05
95,265.599,0.36439,0.28197,0.82583,0.97046,1,0.98913,0.91334,0.49274,0.30025,0.78966,8.675e-05,8.675e-05,8.675e-05
96,267.911,0.3474,0.27796,0.81321,0.96852,1,0.98957,0.91352,0.49573,0.29933,0.79163,7.4375e-05,7.4375e-05,7.4375e-05
97,270.174,0.35718,0.30399,0.81474,0.96641,1,0.98957,0.91256,0.50114,0.30872,0.7931,6.2e-05,6.2e-05,6.2e-05
98,272.49,0.33047,0.27605,0.80226,0.9675,1,0.98957,0.9118,0.50877,0.3086,0.79992,4.9625e-05,4.9625e-05,4.9625e-05
99,274.781,0.36104,0.28073,0.81596,0.96828,1,0.99065,0.91096,0.50816,0.31409,0.80013,3.725e-05,3.725e-05,3.725e-05
100,277.165,0.34139,0.27018,0.8125,0.97137,1,0.99163,0.91079,0.50227,0.3132,0.79938,2.4875e-05,2.4875e-05,2.4875e-05
