epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1399,0.68641,0.34178,0.00553,0.96439,0.97923,0.99102,0.84486,0.61076,0.22788,0.00704,0.000831674,0.000831674,0.000831674
81,1416.15,0.68871,0.33201,0.00581,0.97051,0.96595,0.99032,0.85484,0.60268,0.23121,0.00692,0.000822454,0.000822454,0.000822454
82,1432.86,0.67603,0.34486,0.00556,0.94984,0.97893,0.98816,0.85205,0.57531,0.24716,0.00642,0.000813187,0.000813187,0.000813187
83,1450.93,0.67027,0.34259,0.00556,0.96494,0.98587,0.98894,0.85176,0.5877,0.22537,0.00656,0.000803876,0.000803876,0.000803876
84,1470.49,0.66456,0.34126,0.00547,0.96664,0.98643,0.99116,0.85879,0.56734,0.21258,0.00629,0.000794521,0.000794521,0.000794521
85,1489.89,0.66307,0.3361,0.00542,0.98594,0.97297,0.99023,0.85176,0.58874,0.22304,0.0067,0.000785127,0.000785127,0.000785127
86,1508.31,0.65377,0.31639,0.00536,0.96717,0.98832,0.9878,0.8493,0.57815,0.22184,0.00672,0.000775694,0.000775694,0.000775694
87,1527.12,0.65378,0.31908,0.00544,0.96054,0.97186,0.98751,0.85555,0.57038,0.23634,0.00639,0.000766226,0.000766226,0.000766226
88,1545.31,0.66735,0.32741,0.00562,0.96545,0.9695,0.9899,0.83579,0.62416,0.23608,0.00723,0.000756725,0.000756725,0.000756725
89,1564.53,0.66116,0.31722,0.00547,0.94946,0.98634,0.99088,0.85909,0.5882,0.23572,0.00681,0.000747192,0.000747192,0.000747192
90,1584.34,0.64959,0.31586,0.00533,0.9633,0.98989,0.99043,0.84953,0.59787,0.22493,0.00683,0.000737631,0.000737631,0.000737631
91,1602.75,0.67172,0.32829,0.00557,0.98517,0.96889,0.99239,0.85435,0.57121,0.22041,0.00641,0.000728044,0.000728044,0.000728044
92,1621.04,0.65996,0.32087,0.00537,0.96593,0.96509,0.98922,0.85023,0.59436,0.2306,0.00672,0.000718433,0.000718433,0.000718433
93,1638.92,0.64667,0.32284,0.00554,0.94055,0.9907,0.99033,0.85512,0.58218,0.23489,0.00656,0.0007088,0.0007088,0.0007088
94,1657.13,0.63107,0.31114,0.00503,0.94795,0.977,0.99134,0.85641,0.59355,0.22454,0.00662,0.000699148,0.000699148,0.000699148
95,1675.68,0.65029,0.31985,0.0054,0.95203,0.98229,0.98941,0.85128,0.57869,0.22764,0.0065,0.00068948,0.00068948,0.00068948
96,1692.5,0.62022,0.30154,0.00521,0.96438,0.9587,0.98905,0.86763,0.5439,0.21825,0.00606,0.000679797,0.000679797,0.000679797
97,1709.7,0.63757,0.30555,0.00529,0.98606,0.96618,0.99047,0.86095,0.56755,0.21314,0.0065,0.000670102,0.000670102,0.000670102
98,1726.78,0.62709,0.31063,0.00519,0.95147,0.98766,0.99208,0.85808,0.58115,0.2159,0.00648,0.000660397,0.000660397,0.000660397
99,1744.31,0.65758,0.31878,0.00539,0.96408,0.97639,0.99119,0.85559,0.59431,0.22175,0.00671,0.000650685,0.000650685,0.000650685
100,1762.29,0.64016,0.30344,0.00524,0.95572,0.9839,0.99214,0.86135,0.56998,0.20535,0.00635,0.000640969,0.000640969,0.000640969
101,1781.1,0.63217,0.30576,0.0053,0.9623,0.9902,0.99098,0.85756,0.5695,0.20356,0.00653,0.00063125,0.00063125,0.00063125
102,1799.16,0.6209,0.30718,0.0049,0.97802,0.96016,0.98744,0.86063,0.56067,0.21874,0.00622,0.000621531,0.000621531,0.000621531
103,1817.15,0.59545,0.28499,0.00486,0.97415,0.97128,0.98726,0.86119,0.56914,0.21332,0.00649,0.000611815,0.000611815,0.000611815
104,1835.02,0.60191,0.29023,0.00488,0.97634,0.98804,0.99064,0.85535,0.56895,0.21112,0.0063,0.000602103,0.000602103,0.000602103
105,1852.7,0.62758,0.29721,0.00511,0.97064,0.98163,0.98822,0.8585,0.56984,0.21416,0.00645,0.000592398,0.000592398,0.000592398
106,1871.55,0.62348,0.29006,0.00512,0.97746,0.95759,0.99005,0.85039,0.58878,0.22164,0.00668,0.000582703,0.000582703,0.000582703
107,1889.19,0.6117,0.30172,0.0051,0.97461,0.97134,0.99297,0.86288,0.56515,0.21438,0.00648,0.00057302,0.00057302,0.00057302
108,1905.93,0.61191,0.29336,0.00502,0.95399,0.98694,0.99209,0.85867,0.56364,0.21928,0.00632,0.000563352,0.000563352,0.000563352
109,1922.79,0.62442,0.2922,0.00498,0.97819,0.96284,0.992,0.858,0.57108,0.2159,0.00643,0.0005537,0.0005537,0.0005537
110,1940,0.61718,0.28618,0.00509,0.96608,0.97075,0.99132,0.86149,0.56275,0.21943,0.00631,0.000544067,0.000544067,0.000544067
111,1957.93,0.59548,0.28734,0.00503,0.97682,0.9671,0.9909,0.85734,0.58144,0.21358,0.00656,0.000534456,0.000534456,0.000534456
112,1976.36,0.61208,0.29754,0.00496,0.94336,0.97694,0.98697,0.85144,0.57437,0.23742,0.00646,0.000524869,0.000524869,0.000524869
113,1993.57,0.60142,0.28019,0.00484,0.95839,0.95374,0.98812,0.85017,0.59026,0.23587,0.00661,0.000515308,0.000515308,0.000515308
114,2010.36,0.60858,0.29674,0.00496,0.96845,0.97338,0.99031,0.86489,0.55288,0.21683,0.00618,0.000505775,0.000505775,0.000505775
